price,category,product,isActive
19.57,perfumaria,Papel Higiênico Personal Vip Folha Dupla Compact 30m Leve 16 Pague 15,TRUE
26.75,perfumaria,Papel Higiênico Neve Compacto Folha Dupla 30m Leve 16 Pague 15,TRUE
12.87,perfumaria,Sabonete Dove Original 90g c/ 6,TRUE
1.29,perfumaria,Sabonete Rexona Antibacterial Fresh 84g,TRUE
1.48,perfumaria,Sabonete Johnson & Johnson Amêndoas 80g,TRUE
7.98,perfumaria,Creme Dental Colgate Máxima Proteção NeutrAçúcar 70g Leve 3 e Pague 2,TRUE
2.75,perfumaria,Creme Dental Oral-B 123 70g,TRUE
1.47,perfumaria,Sabonete Francis 90g Suave Cha Verde C/ Erva Doce,TRUE
23.90,perfumaria,Papel Higiênico Doble Folha Dupla 30m Leve 24 e Pague 22,TRUE
17.85,perfumaria,Desodorante Rexona Aerossol Powder Dry 90g c/ 2 unidades,TRUE
2.49,perfumaria,Creme Dental Colgate Tripla Ação Original 90g,TRUE
14.90,perfumaria,Papel Higiênico Doble Folha Dupla 30m Leve 16 e Pague 15,TRUE
8.69,perfumaria,Creme Dental Colgate Total 12 90g + 50% de desconto na 2ª unidade,TRUE
4.85,perfumaria,Toalha Umedecida Cottonbaby Hidratação Intensa C/50,TRUE
2.25,perfumaria,Creme Dental Sorriso Tripla Limpeza Completa 70g,TRUE
3.49,perfumaria,Sabonete Johnson & Johnson Baby Glicerina 80g,TRUE
1.95,perfumaria,Haste Flexível Cottonbaby c/75,TRUE
2.39,perfumaria,Sabonete Dove Original 90g,TRUE
4.58,perfumaria,Creme Dental Closeup Triple Menta 90g Leve 3 e Pague 2,TRUE
11.90,perfumaria,Desodorante Rexona Aerossol 24 h Active 90g,TRUE
1.29,perfumaria,Sabonete Rexona Active 84g,TRUE
7.99,perfumaria,Absorvente Sempre Livre Especial Suave Leve 16 Pague 14,TRUE
6.97,perfumaria,Lenço Umedecido Huggies Baby Wipes c/48,TRUE
2.39,perfumaria,Sabonete Dove Karité & Baunilha 90g,TRUE
2.49,perfumaria,Creme Dental Colgate Tripla Ação Hortelã 90g,TRUE
1.49,perfumaria,Sabonete Nivea Talco e Óleo de Amêndoas 85g,TRUE
2.39,perfumaria,Sabonete Dove Coco 90g,TRUE
65.90,perfumaria,Fralda Pampers Confort Sec Fortebag XG c/58,TRUE
3.49,perfumaria,Sabonete Johnson & Johnson Baby 80g,TRUE
3.39,perfumaria,Sabonete Phebo Odor de Rosas 90g,TRUE
8.49,perfumaria,Xampu (Shampoo) Palmolive Maciez Prolongada 350mL,TRUE
11.97,perfumaria,Toalha Umedecida Pampers Fresh Clean c/48,TRUE
11.90,perfumaria,Desodorante Rexona Aerossol Xtra Cool 150mL,TRUE
23.90,perfumaria,Kit Dove Óleo Nutrição Xampu (Shampoo) 400mL + Condicionador 200mL,TRUE
11.97,perfumaria,Desodorante Nivea Aerossol Original Protect 150mL,TRUE
1.59,perfumaria,Sabonete Palmolive Esfoliação Delicada Jasmim e Manteiga de Cacau 85g,TRUE
4.69,perfumaria,Haste Flexível Cotonetes Johnson & Johnson c/75,TRUE
65.90,perfumaria,Fralda Pampers Confort Sec Fortebag G c/60,TRUE
1.99,perfumaria,Sabonete Protex Limpeza Profunda 85g,TRUE
2.99,perfumaria,Sabonete Rexona Antibacterial Fresh 84g c/3,TRUE
3.39,perfumaria,Sabonete Phebo Naturelle 90g,TRUE
18.97,perfumaria,Papel Higiênico Fofinho Folha Simples 60m Leve 16 Pague 15,TRUE
1.47,perfumaria,Sab. Francis 85g Suave Azul,TRUE
4.97,perfumaria,Algodão Cottonbaby Bola 50g,TRUE
